place ;;;;people ;;;;emotion ;;;;life period ;;;;time ;;;;experience;;
beach;Marine;sea salt;;mother;Powdery;iris, osmanthus, peach blossom;;happy;Citrus;yuzu;;childhood;Milk;milk accord, lactonic notes;;morning;Citrus;bergamot, lemon, mandarin, grapefruit;;;;
sea;Marine;blue anemone ;;father;leather;tonka bean, oakmoss;;joy;Citrus;Kumquat;;early life;Powdery;iris, orris root, violet, talc accord;;dawn;Ozonic;ozone accord, marine accord, fresh air;;walking;Woody;sandalwood
ocean;Marine;marine accord ;;friend;Fruity;watermelon, melon, pear, plum, strawberry ;;excited;Fruity;guava;;infancy;musky;soft musk;;sunrise;Citrus;bergamot, lemon, mandarin, grapefruit;;running;Citrus;bergamot
shore;Marine;ambroxan ;;friends;Fruity;raspberry, blackcurrant, violet leaf,;;calm;powdery;mimoza;;babyhood;Powdery;iris, orris root, violet, talc accord;;early morning;Green;grass, green leaves, basil, mint;;sitting;Musk;soft musk
coast;Marine;seaweed;;best friend;Fruity;lotus, mimoza,heliotrope, guava, passionfruit;;relaxed;Aromatic;lavanta, sage ;;toddler;Sweet;vanilla, tonka, sugar;;noon;floral;rose, jasmine, peony;;standing;Musk;soft musk
island;Marine;seaweed;;lover;Floral;iso e super, black orchid, peony, hyacinth;;peaceful;Fruity;pineapple;;playtime;Candy;caramel, sugar, vanilla;;afternoon;floral;rose, jasmine, peony;;lying down;Powdery;Iris, Violet
harbor;Marine;marine accord ;;partner;Floral;may rose, tulip, myrrh, Bulgarian rose;;safe;Musk;soft musk ;;school years;powdery;iris, orris root, violet, talc accord;;sunset;fruity;apple, peach, berry;;traveling;Ozonic;Dew 
lagoon;Marine;marine accord ;;family;floral ;lily of the valley ;;warm;woody;pine;;primary school;powdery;iris, orris root, violet, talc accord;;evening;Woody;sandalwood, cedarwood, vetiver, patchouli;;arriving;Citrus;mandarin, orange, yuzu
waves;Marine;marine accord ;;grandmother;Warm Spicy;lily, apricot, geranium, almond blossom;;comfort;Gourmand;chocolate;;middle school;powdery;iris, orris root, violet, talc accord;;night;woody;sandalwood, cedarwood, vetiver, patchouli;;leaving;Metallic;Aldehydes
sand;Mineral;date fruit ;;grandfather;leather;leather accord, birch tar;;love;Floral;peony, rose;;high school;Woody;sandalwood, cedarwood, vetiver, patchouli;;midnight;smoky;Tobacco smoke;;exploring;Green; viloet leaf, strawberry leaf
desert;Mineral;date fruit;;child;sweet;marshmelllow, whipped cream,chocolate, panna cotta, ice cream;;passion;Spicy;pink pepper;;teenage;Fruity;apple, peach, berry;;today;Clean;white musk, aldehydes, soap accord;;discovering;green; viloet leaf, strawberry leaf, basil
dune;Mineral;date fruit;;baby;lactonic;milk ;;desire;spicy;pink pepper;;youth;Citrus;bergamot, lemon, mandarin, grapefruit;;yesterday;Powdery;cashmeran ;;touching;Musk;skin musk
forest;Woody;birch ;;sibling;fruity;mirabelle plum, cotton flower;;lonely;Metallic;aldehyde;;young adulthood;Green;grass, green leaves, basil, mint;;tomorrow;Fresh Citrus;bergamot, lemon, grapefruit;;feeling;Musk;soft musk 
woods;Woody;oak ;;brother;fruity;mirabelle plum, cotton flower;;fear;Metallic;aldehyde;;college;woody;sandalwood, cedarwood, vetiver, patchouli;;now;Musk;white musk, clean musk, cotton musk;;seeing;Ozonic;Dew 
tree;Woody;oud;;sister;Floral;mirabelle plum, cotton flower;;stress;Metallic;aldehyde;;university;woody;sandalwood, cedarwood, vetiver, patchouli;;moment;metallic;aldehydes;;hearing;Aromatic;lavender, rosemary, sage
pine;Woody;agarwood ;;teacher;Floral;rose, jasmine, peony;;anger;Metallic;aldehyde;;graduation;Floral;rose, jasmine, peony;;instant;Citrus;bergamot, lemon, mandarin, grapefruit;;smelling;Aromatic;lavender, rosemary, sage
cedar;Woody;cedarwood;;student;woody;oris root;;focus;Woody;sandalwood;;first job;citrus;;;hour;Woody;sandalwood, cedarwood, vetiver, patchouli;;tasting / eating;Gourmand;brown sugar, vanilla, chocolate
oak;Woody;patchouli ;;stranger;Metallic;metallic accord, sweet almond;;creativity;Citrus;Tangerine;;career start;Clean Musk;white musk, clean musk, cotton musk;;minute;Metallic;aldehydes, metallic accord, steel accord;;breathing;Ozonic;ozone accord
bark;Woody;vetiver;;crowd;gourmand;white chocolate;;freedom;Ozonic;ozone accord;;early career;Aromatic;lavender, rosemary, sage;;second;Ozonic;ozone accord, marine accord, fresh air;;watching;musky;clean musk
mountain;Woody;cedarwood ;;group;Spicy;nutmeg;;playful;Fruity;pear, plum, strawberry ;;growth period;Green;grass, green leaves, basil, mint;;week;Aromatic;lavender, rosemary, sage;;listening;Woody;birch, oakwood, pine
hill;Woody;pine;;neighbor;Musk;white musk;;sweet;Gourmand;gelato ;;exploration;Citrus;bergamot, lemon, mandarin, grapefruit;;month;Woody;sandalwood, cedarwood, vetiver, patchouli;;learning;Powdery;heliotrope, mimosa
valley;Green;oak ;;guest;floral;gardenia;;fragile;Powdery;Talc Accord;;discovery;green;;;year;Woody;cedarwood;;teaching;Woody;birch, oakwood, pine
field;Green;oakmoss ;;host;Floral;gardenia;;hope;Citrus;Sicilian Lemon;;first love period;Floral;rose, jasmine, peony;;season;Spicy;cinnamon, cardamom, pink pepper;;reading;Powdery;heliotrope, mimosa
meadow;Green;cassis;;colleague;Gourmand;vanilla, caramel, chocolate;;curiosity;Citrus;citron ;;relationship phase;Floral;rose, jasmine, peony;;spring;Floral;rose, jasmine, peony;;writing;Powdery;heliotrope, mimosa
grass;Green;wood moss ;;boss;Floral/ Gourmand;narcotic flower, benzoin, tonka bean, suede leather;;surprise;fruity;passionfruit, mango , papaya;;independence;Ozonic;ozone accord, marine accord, fresh air;;summer;Citrus;bergamot, lemon, mandarin, grapefruit;;drawing;Aromatic;lavender, rosemary, sage
garden;Green;angelica;;client;Leather;leather;;confusion; Spicy;cinnamon, cardamom, pink pepper;;moving out;Clean;white musk, aldehydes, soap accord;;autumn;Spicy;cinnamon, cardamom, pink pepper;;creating;Green;galbanum, Ivy,fig leaf
flowers;Floral;jasmine ;;artist;Aldehydic;aldehyde;;;;;;new life;Citrus;bergamot, lemon, mandarin, grapefruit;;winter;Woody;sandalwood, cedarwood, vetiver, patchouli;;thinking;Aromatic;lavender, rosemary, sage
rose garden;Floral;rose ;;musician;citrus;bergamot;;sad;Powdery;cashmeran;;adaptation;Green;grass, green leaves, basil, mint;;day;Citrus;bergamot, lemon, mandarin, grapefruit;;remembering;Powdery;heliotrope, mimosa
greenhouse;Green;ivy;;singer;citrus;bergamot;;nostalgic;Powdery;Marzipan ;;building phase;Woody;sandalwood, cedarwood, vetiver, patchouli;;nightfall;smoky;Smoked cedar;;forgetting;Ozonic;ozone accord
park;Green;olibanum ;;dancer;citrus;blood orange, tiare flower;;emotional;marine;sea salt;;stability phase;woody;sandalwood, cedarwood, vetiver, patchouli;;dusk;Smoky;Tobacco smoke;;meeting;Floral;white flowers accord, freesia, 
river;Aquatic;ambroxan ;;performer;citrus;blood orange, tiare flower;;deep;Woody;sandalwood, cedarwood, vetiver, patchouli;;maturity;woody;sandalwood, cedarwood, vetiver, patchouli;;twilight;smoky;Smoked cedar;;greeting;Citrus;lemon verbena, grapefruit, orange
lake;Aquatic;blue anemone ;;couple;gourmand;amber;;empty;Ozonic;ozone accord, marine accord, fresh air;;adult life;Woody;sandalwood, cedarwood, vetiver, patchouli;;early;Green;grass, green leaves, basil, mint;;hugging;Musk;skin musk
waterfall;Aquatic;marine accord ;;bride;floral ;champagne, strawberry, jasmine;;lost;Ozonic;ozone accord, marine accord, fresh air;;responsibility;green;;;late;woody;sandalwood, cedarwood, vetiver, patchouli;;kissing;Floral;peony, lilly of the valley, gardenia
stream;Aquatic;sea salt;;groom;Woody;gardenia, iris, oakmoss ;;tired;Metallic;aldehydes, metallic accord, steel accord;;family formation;spicy;cinnamon, cardamom, pink pepper;;timeless;floral;rose, jasmine, peony;;talking;Citrus;lemon, lime,bergamot
rain;Aquatic;sea salt ;;;;;;lazy;Metallic;aldehydes, metallic accord, steel accord;;marriage period;Floral;rose, jasmine, peony;;eternal;floral;rose, jasmine, peony;;laughing;Citrus;lemon, lime,bergamot
storm;Ozonic;aldehydes ;;date;Floral;peony;;bored;Metallic;aldehydes, metallic accord, steel accord;;parenthood;lactonic;milk ;;past;Powdery;iris, orris root, violet, talc accord;;crying;Powdery;talc accord, rice powder accord, baby powder accord
wind;Ozonic;calone;;kiss;Gourmand;amber;;shy;Powdery;iris, orris root, violet, talc accord;;career peak;citrus;Citrus Peel ;;future;ozonic;ozone accord, marine accord, fresh air;;screaming;Smoky;Smoked cedar
